source_platform,vint_moyy,fico_bkt,fico_bkt_coupon
Marlette,201606,[650-680),0.199535809712871
Marlette,201606,[680-710),0.171472657309158
Marlette,201606,[710-750),0.146193073208919
Marlette,201606,[750+),0.0998770926751423
Marlette,201607,[620-650),0.262399770001673
Marlette,201607,[650-680),0.192922953743832
Marlette,201607,[680-710),0.161439222060094
Marlette,201607,[710-750),0.135845012334688
Marlette,201607,[750+),0.0933522787959012
Marlette,201608,[620-650),0.246134999910745
Marlette,201608,[650-680),0.18704741677341
Marlette,201608,[680-710),0.159043620285595
Marlette,201608,[710-750),0.137896827275034
Marlette,201608,[750+),0.0939332073740582
Marlette,201609,[620-650),0.198833590165932
Marlette,201609,[650-680),0.174833148027854
Marlette,201609,[680-710),0.156912355902021
Marlette,201609,[710-750),0.135483573700826
Marlette,201609,[750+),0.0933447702191473
Marlette,201610,[620-650),0.200735879799685
Marlette,201610,[650-680),0.175033988274371
Marlette,201610,[680-710),0.153571327889334
Marlette,201610,[710-750),0.130491543801426
Marlette,201610,[750+),0.0949834968337691
Marlette,201611,[620-650),0.218673661268582
Marlette,201611,[650-680),0.179392067925379
Marlette,201611,[680-710),0.154487581220307
Marlette,201611,[710-750),0.131769037847134
Marlette,201611,[750+),0.0965039895333468
Marlette,201612,[620-650),0.224765795194177
Marlette,201612,[650-680),0.173959101758235
Marlette,201612,[680-710),0.150952370221335
Marlette,201612,[710-750),0.13125019455077
Marlette,201612,[750+),0.093742371252542
Marlette,201701,[620-650),0.232669052145455
Marlette,201701,[650-680),0.176364099286311
Marlette,201701,[680-710),0.149629382931928
Marlette,201701,[710-750),0.133732221183001
Marlette,201701,[750+),0.0963836038486071
Marlette,201702,[620-650),0.235015622708078
Marlette,201702,[650-680),0.179394116212654
Marlette,201702,[680-710),0.149129837827042
Marlette,201702,[710-750),0.126698449357605
Marlette,201702,[750+),0.0955382514788576
Marlette,201703,[620-650),0.227960176534366
Marlette,201703,[650-680),0.171666187681934
Marlette,201703,[680-710),0.143049718044323
Marlette,201703,[710-750),0.119936040412306
Marlette,201703,[750+),0.0913616894495023
Marlette,201704,[620-650),0.229271333413813
Marlette,201704,[650-680),0.173781286517486
Marlette,201704,[680-710),0.145269030072972
Marlette,201704,[710-750),0.12426217706763
Marlette,201704,[750+),0.0925161993282469
Marlette,201705,[620-650),0.231892028643143
Marlette,201705,[650-680),0.180048835853611
Marlette,201705,[680-710),0.14673041283102
Marlette,201705,[710-750),0.125730113238418
Marlette,201705,[750+),0.0926052329925297
Marlette,201706,[620-650),0.232914670339533
Marlette,201706,[650-680),0.181956906380825
Marlette,201706,[680-710),0.147802828460123
Marlette,201706,[710-750),0.124694926656466
Marlette,201706,[750+),0.0902699672827416
Marlette,201707,[620-650),0.230338949780156
Marlette,201707,[650-680),0.179184706299812
Marlette,201707,[680-710),0.144255316259969
Marlette,201707,[710-750),0.122183603260203
Marlette,201707,[750+),0.0880347089714473
Marlette,201708,[620-650),0.228952683991232
Marlette,201708,[650-680),0.177115842955518
Marlette,201708,[680-710),0.145835406596664
Marlette,201708,[710-750),0.11876269026815
Marlette,201708,[750+),0.0882420234730157
Marlette,201709,[620-650),0.226183295909763
Marlette,201709,[650-680),0.176356562273521
Marlette,201709,[680-710),0.146703124360695
Marlette,201709,[710-750),0.118926995564778
Marlette,201709,[750+),0.0879833391395452
Marlette,201710,[620-650),0.230765318035056
Marlette,201710,[650-680),0.17402466022957
Marlette,201710,[680-710),0.147198013286055
Marlette,201710,[710-750),0.119085906609853
Marlette,201710,[750+),0.0883719528263791
Marlette,201711,[620-650),0.228484597251167
Marlette,201711,[650-680),0.173159407927565
Marlette,201711,[680-710),0.144424195410603
Marlette,201711,[710-750),0.117322049660458
Marlette,201711,[750+),0.0886160096133679
Marlette,201712,[620-650),0.227693500766406
Marlette,201712,[650-680),0.172179681837457
Marlette,201712,[680-710),0.14090580292196
Marlette,201712,[710-750),0.116662122581684
Marlette,201712,[750+),0.0888901177127418
Marlette,201801,[620-650),0.226967830886117
Marlette,201801,[650-680),0.165797468219818
Marlette,201801,[680-710),0.138134111715728
Marlette,201801,[710-750),0.1121569048179
Marlette,201801,[750+),0.0854811451731595
Marlette,201802,[620-650),0.228337291081951
Marlette,201802,[650-680),0.168893136577269
Marlette,201802,[680-710),0.137634757391143
Marlette,201802,[710-750),0.11029763127957
Marlette,201802,[750+),0.0846261068504218
Marlette,201803,[620-650),0.222805985706892
Marlette,201803,[650-680),0.165645386969027
Marlette,201803,[680-710),0.138610458850537
Marlette,201803,[710-750),0.110625288612694
Marlette,201803,[750+),0.0863077594712009
Marlette,201804,[620-650),0.22248001253496
Marlette,201804,[650-680),0.169419146868765
Marlette,201804,[680-710),0.137487844336724
Marlette,201804,[710-750),0.110999314893449
Marlette,201804,[750+),0.0852167637515466
Marlette,201805,[620-650),0.220983551039673
Marlette,201805,[650-680),0.165491206561874
Marlette,201805,[680-710),0.135313628236199
Marlette,201805,[710-750),0.109424255757773
Marlette,201805,[750+),0.0829290923816081
Marlette,201806,[620-650),0.220435368963496
Marlette,201806,[650-680),0.164941152894434
Marlette,201806,[680-710),0.136763554078721
Marlette,201806,[710-750),0.107980457554949
Marlette,201806,[750+),0.0844945630391032
Marlette,201807,[620-650),0.224899601654966
