vint_moyy,fico_bkt,fico_bkt_coupon
201802,540-580,0.11330541290770299
201802,580-620,0.11578527827648115
201802,620-660,0.09141362242663163
201802,660-700,0.06934807801017524
201802,700-740,0.04751520503868009
201802,740+,0.029739550502379693
201802,<540,0.08748718954248366
201803,540-580,0.11469638743455497
201803,580-620,0.11659701422906461
201803,620-660,0.09418564114775568
201803,660-700,0.07044167574073013
201803,700-740,0.049240007401924496
201803,740+,0.030789496313076443
201803,<540,0.08605036958817318
201804,540-580,0.11420670640834575
201804,580-620,0.11740748379493224
201804,620-660,0.09380873082287308
201804,660-700,0.07062475144987572
201804,700-740,0.04902011073633297
201804,740+,0.0305275787297345
201804,<540,0.08389183673469387
201805,540-580,0.11511674911660777
201805,580-620,0.11991241319444444
201805,620-660,0.09805203919491526
201805,660-700,0.07477428361498897
201805,700-740,0.053425530845583616
201805,740+,0.034475520731468805
201805,<540,0.08330561097256857
201806,540-580,0.116969992609017
201806,580-620,0.12142375917767988
201806,620-660,0.10073252091145082
201806,660-700,0.07817974243209236
201806,700-740,0.05645128132721496
201806,740+,0.03769780315848844
201806,<540,0.08772764705882354
201807,540-580,0.11736464011180993
201807,580-620,0.1206448002266931
201807,620-660,0.10199184549356223
201807,660-700,0.07843018786127168
201807,700-740,0.05710511186350661
201807,740+,0.03800024496608162
201807,<540,0.08838898203592814
201808,540-580,0.11766945606694561
201808,580-620,0.12015446376811593
201808,620-660,0.1020988430682618
201808,660-700,0.0799854578488372
201808,700-740,0.05802773228666171
201808,740+,0.039093791622495856
201808,<540,0.08711425030978934
201809,540-580,0.11757758913412565
201809,580-620,0.12036971320516862
201809,620-660,0.10236199123356293
201809,660-700,0.0805419385719984
201809,700-740,0.05812451096621221
201809,740+,0.039799204723460664
201809,<540,0.0920469304229195
201810,540-580,0.11631533333333334
201810,580-620,0.11986800664451827
201810,620-660,0.10283392296247314
201810,660-700,0.07983122998355406
201810,700-740,0.0592270487412962
201810,740+,0.04081876385809313
201810,<540,0.0871117048346056
201811,540-580,0.11803081967213115
201811,580-620,0.12254573509015257
201811,620-660,0.10339713274336283
201811,660-700,0.08101666516448851
201811,700-740,0.0603507179690599
201811,740+,0.04186882321138944
201811,<540,0.08471123287671233
201812,540-580,0.11546306235201262
201812,580-620,0.12221975717439294
201812,620-660,0.10372284529390552
201812,660-700,0.08028694509874977
201812,700-740,0.05951636206761315
201812,740+,0.04129550807682341
201812,<540,0.07912841191066997
201901,540-580,0.12003177933177933
201901,580-620,0.12217110586648686
201901,620-660,0.10416974143955277
201901,660-700,0.08205294386125057
201901,700-740,0.06199508120453392
201901,740+,0.04414349039566574
201901,<540,0.08967407407407407
201902,540-580,0.12059108781127129
201902,580-620,0.12120380005846243
201902,620-660,0.10410782149712093
201902,660-700,0.08254756840287247
201902,700-740,0.06301515860634425
201902,740+,0.044658597344551076
201902,<540,0.09184623338257016
201903,540-580,0.1222238283177109
201903,580-620,0.12193696301401333
201903,620-660,0.10600120097099783
201903,660-700,0.08334966393382082
201903,700-740,0.06393830235005261
201903,740+,0.04587867707361217
201903,<540,0.09763554778554778
201904,540-580,0.11981060707138093
201904,580-620,0.12178171665238503
201904,620-660,0.10592772497772499
201904,660-700,0.08195986271986272
201904,700-740,0.06310765783169771
201904,740+,0.04603339827846923
201904,<540,0.0923976911976912
201905,540-580,0.11983706154864329
201905,580-620,0.11947020145495243
201905,620-660,0.10248163062037564
201905,660-700,0.07742863004330977
201905,700-740,0.05612470097184151
201905,740+,0.038697407755380935
201905,<540,0.09304836309523809
201906,540-580,0.12094194029850745
201906,580-620,0.12120557831705012
201906,620-660,0.10387873860182371
201906,660-700,0.08116768057578613
201906,700-740,0.0613538744280249
201906,740+,0.04309056263327683
201906,<540,0.0929736301369863
201907,540-580,0.12043599397590361
201907,580-620,0.1207828085924976
201907,620-660,0.10328855154965212
201907,660-700,0.07882470227670753
201907,700-740,0.059869325620337956
201907,740+,0.04160514978825744
201907,<540,0.09416827956989247
201908,540-580,0.11846051602814699
201908,580-620,0.11976457430576747
201908,620-660,0.100987808526552
201908,660-700,0.07798464177763255
201908,700-740,0.057509858868136504
201908,740+,0.040289005235602096
201908,<540,0.09177588785046728
201909,540-580,0.11634264972776769
